,polynomial-regression-model-degree,residuals-min,residuals-max,residuals-µ,residuals-σ,mse,mae,rmse
0,1,0.03236831787653571,9.794874306007841,4.005020475344979,2.8099426729770935,23.93596683335018,4.005020475344979,4.892439762873956
1,2,0.03846465156613377,13.938464680676393,6.715466172964384,4.135920684772998,62.20332583096206,6.715466172964384,7.886908509103048
2,3,13305135879871.361,13307133888705.53,13306120092654.43,571077730.3714516,1.7705283224627175e+26,13306120092654.43,13306120104909.31
3,4,7.144242606780889e+20,4.750321083520688e+22,2.2969327192911462e+22,1.3411622874244652e+22,7.074616198159844e+44,2.2969327192911462e+22,2.6598150684135624e+22
4,5,3.1786373438088046e+20,7.161318914641461e+22,2.8228521597204523e+22,1.889369361140501e+22,1.1538210898454887e+45,2.8228521597204523e+22,3.3967942090233974e+22
5,6,1.1099401266306189e+21,5.113644951919685e+22,2.51898243302471e+22,1.5131136042637216e+22,8.634785277295038e+44,2.51898243302471e+22,2.9385005151088605e+22
6,7,2.6659195530183516e+21,4.392879440043278e+22,2.1286832242352275e+22,1.1630411451870353e+22,5.883956974538454e+44,2.1286832242352275e+22,2.4256869077724055e+22
7,8,9.367956332028373e+20,1.9329879363045724e+23,6.817327707882633e+22,4.842466047469414e+22,6.992543449755834e+45,6.817327707882633e+22,8.362142936924622e+22
8,9,3.119604038433159e+21,1.597664607025975e+23,4.693861661686032e+22,3.7153391044801734e+22,3.5836081960325506e+45,4.693861661686032e+22,5.986324578597915e+22
9,10,1.5172498869253466e+21,1.4850675768996796e+23,4.030279597478438e+22,3.2809079244160904e+22,2.700751044234726e+45,4.030279597478438e+22,5.196875065108575e+22
10,11,2.8801308891363148e+19,6.264566179834089e+23,2.6750684520862375e+23,1.7980895098345466e+23,1.0389117108724097e+47,2.6750684520862375e+23,3.223215337008078e+23
11,12,8.142905861914082e+21,1.3675035143686954e+23,5.333220258325841e+22,3.2794103660216576e+22,3.919777067258747e+45,5.333220258325841e+22,6.260812301338179e+22
12,13,3.3177752346041306e+20,1.1029040753984096e+23,4.561821607339341e+22,3.010937544950807e+22,2.987596127678248e+45,4.561821607339341e+22,5.465890712114768e+22
13,14,3.1288804704142754e+19,3.8898794360375214e+23,1.1486097928830021e+23,8.38778032440012e+22,2.0228530440106705e+46,1.1486097928830021e+23,1.4222703835806575e+23
14,15,5.681630199889894e+20,1.2852184593849742e+23,6.338013557873567e+22,3.510116561818398e+22,5.249133413734096e+45,6.338013557873567e+22,7.245090347079252e+22
15,16,6.430704471048423e+21,1.5931172049894397e+24,5.127332283891645e+23,3.73677302579485e+23,4.025300899574551e+47,5.127332283891645e+23,6.344525907878816e+23
16,17,3.5414228779779576e+22,1.6841418713351633e+24,5.936020048672624e+23,3.936595013138882e+23,5.073311431571325e+47,5.936020048672624e+23,7.122718183089462e+23
