p,d,q,mae,mse,rmse
1,1,1,7.574381203867798,77.57714045232642,8.807788624412282
1,1,2,6.622392755653129,62.59315537251497,7.911583619763806
1,1,3,6.980550986086082,68.08768056194508,8.251525953540053
1,1,5,4.06619723542244,24.819686692021342,4.9819360385317415
1,1,4,4.092999426384908,25.308739190953826,5.030779183283026
1,1,7,7.5548619985440775,77.26194130014123,8.789877206203807
1,1,6,4.009164987068652,23.82191777616762,4.880770203171587
1,2,1,1474.6980428716072,2896201.5217356044,1701.8229995318563
1,2,2,1457.7403701355802,2829957.971265361,1682.247892334944
1,1,9,4.017982250475874,24.01163570272199,4.90016690559842
1,1,8,7.716605490290942,79.92160639346663,8.939888500057853
1,2,3,6.934659146850314,67.5896520213524,8.221292600397605
1,2,4,6.579221844645308,61.97536149616376,7.872443171986938
1,2,5,6.692940574351645,63.82791583595907,7.9892375002849345
1,2,6,7.883822032748453,83.09945331366484,9.115890154760798
1,3,1,1610.6076820367275,3554432.2672715923,1885.3202028492647
1,2,7,8.088646575982393,86.62727298198324,9.307377341764072
1,2,8,6.746329993555862,64.48152053402451,8.030038638389264
1,3,2,1648.7557003265713,3720003.335503241,1928.7310168873319
1,2,9,8.907591683883904,101.18095788459193,10.058874583401064
1,3,3,1648.7481016454667,3720007.375947595,1928.732064322983
1,3,4,1646.7863736599802,3711247.4561519776,1926.4598246919081
1,3,5,1451.6852579229912,2884200.0782870445,1698.2932839433372
1,3,7,4429.972631709942,35026699.662433505,5918.33588624653
1,3,6,2199.3793052653778,6630502.30272603,2574.97617517639
1,4,1,35616.58731692055,2349323098.7048674,48469.816367558764
1,3,8,102.90299267414842,16567.137752020055,128.71339383304309
1,4,2,108650.9014596619,26560431980.331917,162973.71561184924
1,3,9,51.0387848771888,3917.8970797728343,62.59310728644836
1,4,5,160192.9493785914,57850380139.04192,240521.0596580722
1,4,3,71081.45680177772,11380183183.700172,106677.94141105354
1,4,4,173619.81466860362,68249421079.012474,261245.90155447889
1,4,7,124252.41395997665,34696944908.76945,186271.15962695205
1,4,6,6013.72612858548,74427225.59563667,8627.121512743208
1,5,2,1911229.4572637447,9880563712397.18,3143336.3982235785
1,5,1,9488206.658214096,201247977447824.62,14186189.673334578
1,4,8,8991.747807708563,148697880.71530983,12194.174048098126
1,5,3,1864811.8102898255,8948571524144.553,2991416.3073943006
1,5,4,436181.9146373029,446379059179.0974,668116.0521788842
1,4,9,12709.364367805183,354144118.8024093,18818.71724646527
1,5,5,702185.3607732445,1150553465182.168,1072638.552906881
1,5,7,1517280.1633880846,6195064052603.879,2488988.560159303
1,5,6,665628.7491288871,1139101067300.673,1067286.7783780857
1,6,1,120565587573.94087,4.070601376722016e+22,201757314036.49326
1,6,2,717535453.4920506,1.670713192490172e+18,1292560711.3362885
