degree,mae,mse,rmse,time
57,910131002473.8792,7.104803875071162e+24,2665483797563.054,146194474
22,1735825.9250662234,14497360222594.562,3807539.9174000216,48679590
17,85325.17366393308,27862704307.96146,166921.25181642227,45915311
63,540886497219.88153,2.2183478820241466e+24,1489411924896.5837,121073772
37,810179150.1759975,4.1343261263723126e+18,2033304238.5172744,118875297
15,13394.901973103248,782319523.3877524,27969.975391261116,27288550
50,83807341322.8469,5.450257992135213e+22,233457876117.62454,381777943
47,49830107727.833725,1.883306310524386e+22,137233607783.38467,408690352
40,1070714142.7283603,7.353017795953239e+18,2711644850.63093,422482371
11,876.923301168053,2539995.373706659,1593.7362936529553,34568266
26,16508344.338960491,1451690860452818.0,38101061.14602083,49950586
5,46.89932069709691,3697.5975979699424,60.80787447337674,6778693
9,688.517890112729,1291477.068338571,1136.4317262108495,14741156
43,22660318912.86895,3.724418727241823e+21,61028015920.90163,450044941
33,50549059.455079496,1.3559817203444588e+16,116446628.13256805,347649792
29,60107649.16479713,1.974498709345787e+16,140516856.9725991,55332271
6,7.0710061892885046,88.50667630720208,9.407798696145772,6803836
3,8.048658981816939,95.66935538056367,9.781071279801802,14999500
23,2161664.5062472257,22640418114515.113,4758194.837805102,60072247
46,65526054358.09347,3.2550767940810022e+22,180418313762.23984,382054641
53,1447469696315.409,1.7281213520770152e+25,4157067899465.9385,373804117
59,2265293515984.4585,4.533980580924196e+25,6733483928045.121,446042301
56,351120823687.87604,1.0233587352664196e+24,1011611948953.9552,264205752
18,168824.93455812722,114631153245.77364,338572.22751692677,58114839
62,1105104819530.4546,9.946630071508977e+24,3153827844304.2793,359728065
36,1630599737.7748435,1.722474860188702e+19,4150270907.047758,70667121
49,45573509951.39571,1.577935235634039e+22,125615892132.88417,199607711
39,1238105748.0165799,9.906564446875474e+18,3147469530.7302775,140090959
14,24463.803195819317,2180557704.482449,46696.442096614264,66160195
25,338913.45996974915,352558584579.64355,593766.4394184329,48066057
8,6.780006650106228,70.99615756124162,8.42592176329935,19176162
4,12.066103221289314,216.7903288410406,14.723801439880958,10141003
31,83209131.6449503,3.895632620069812e+16,197373570.1675838,405139348
42,1378973425.977447,1.4675390170669079e+19,3830847187.0682964,411052532
19,321499.05310738384,475490309988.98376,689558.0541107353,48446977
60,7240909084279.888,4.8317490340496055e+26,21981239805910.87,413671802
32,110618320.26428884,6.998815240723231e+16,264552740.31321678,415370569
28,26642554.803060595,3788004581515303.0,61546767.43351598,54271895
2,7.545379953594641,84.1332750520414,9.172419258409496,11267406
45,19689694054.245667,2.849147185167142e+21,53377403319.823845,122462673
52,230360128252.9257,4.238725849381562e+23,651054978429.7454,108864314
13,9436.600252029624,310635596.5264004,17624.857347689383,42236273
58,623936131871.5845,3.2362611023402626e+24,1798961117517.6252,333186436
55,150483327014.18005,1.83705874996056e+23,428609233447.0362,167184051
16,90934.94795838998,31886805205.334877,178568.76884084428,57069342
34,60022521.272094704,1.954886874144057e+16,139817269.11022317,87522651
61,3137294738756.8154,9.617998058307669e+25,9807139266018.234,100941795
35,293420201.51932895,5.219429185514834e+17,722456170.6785287,157563646
20,183235.99396939907,136251600266.61487,369122.7441740956,63880856
48,37964212110.86699,1.0967510213679441e+22,104725881298.175,428114713
38,1279860865.285254,1.0607812450466333e+19,3256963685.7764215,148546170
41,467154714.83780396,1.268061957974424e+18,1126082571.5614393,402334444
27,16165726.696896562,1344410967621613.2,36666210.161695376,56379114
24,2499327.009401533,30518140980831.383,5524322.6716794325,72246094
12,225444.76707838048,175961053774.39334,419477.11948852864,24928250
44,37285751913.80948,1.0130398743357416e+22,100649881983.8226,378184486
30,61038333.59977136,2.0490209901154796e+16,143144018.0418127,49548636
1,7.950100603854456,83.66530903426467,9.146874276727797,10390977
7,52.11855303405493,6776.39174428783,82.31884197611036,9936056
21,93407.00029117399,32004204135.296104,178897.18872943785,48188038
10,398.6467998593519,541309.6182032912,735.7374655427649,43648751
54,139885254170.09512,1.529943174423535e+23,391144880373.44104,113023525
51,1586199332916.1624,2.0796430076574843e+25,4560310304855.893,398724308
67,11145874197269.297,1.2490671581807316e+27,35342144221605.055,76271352
66,1662303249054.6348,2.837645366771754e+25,5326955384430.917,318795932
65,110899933412247.95,1.1721290182575857e+29,342363698171635.25,447746705
68,13501605038904.242,1.8199617461325516e+27,42661009670805.4,227843773
64,1291599504799.186,1.7490965431980991e+25,4182220155847.967,469074133
69,6530203703935.617,4.420039641581191e+26,21023890319303.87,194043299
70,68879562718372.34,4.933722950003243e+28,222119853907822.53,293580323
71,4467682617698.244,2.1435244412223224e+26,14640780174643.436,347528204
72,35082448542599.02,1.3014572695404062e+28,114081430107638.73,388209659
73,30681424624880.887,9.924222280476557e+27,99620390886989.38,459177836
74,13833881411792.684,1.9672821203189246e+27,44354054158768.0,443182510
75,74929205722174.83,6.060663706542928e+28,246184152750393.9,478033311
76,78755057722216.75,6.721995664667813e+28,259268117296898.12,489818910
77,16161079004330.762,2.7129007011376825e+27,52085513351964.6,426374343
78,196151822434273.03,4.241115236671921e+29,651238453768811.2,477071678
79,465897758420326.2,2.4096007152471816e+30,1552288863339289.0,436730502
80,956119551483593.8,1.0174169009069455e+31,3189697322485231.5,415652543
81,672013655865258.1,5.429825137656842e+30,2330198518937140.5,418430713
82,84668032028504.84,7.8648871357677325e+28,280444061013381.66,429816621
83,88861351259828.8,1.1416294533096118e+29,337880075368408.2,446311271
84,1173178956109291.8,1.6611060361022894e+31,4075666860898090.5,440716197
85,824731730204489.8,8.114798952228445e+30,2848648618595920.0,429347559
87,6020512669408186.0,4.45192787356379e+32,2.1099592113507292e+16,254337085
86,2.7826278849073376e+16,9.432669502596207e+33,9.712193111031208e+16,407233254
89,6289753051750461.0,4.992462118905087e+32,2.234381820304016e+16,286606540
88,1.4062513770616296e+16,2.4163206246719953e+33,4.9156084309798264e+16,460642729
91,2099572079563720.5,5.7412410939539285e+31,7577097791340645.0,374958709
90,1.970507236946226e+16,4.8607207314953765e+33,6.971886926432023e+16,460560495
92,3.3675430254510108e+16,1.4377826506431052e+34,1.1990757485009466e+17,388786435
93,1077248522455726.8,1.1313185355802514e+31,3363507894416559.0,476909170
94,1.4633524931181924e+16,2.798136378148136e+33,5.289741371889684e+16,448890117
96,6783629555744617.0,5.438486159913306e+32,2.3320562085664456e+16,306176900
95,2.686468946830107e+16,9.160689001334929e+33,9.571148834562614e+16,486665805
97,3.4085438960930204e+16,1.525540418922173e+34,1.2351276933670352e+17,484160025
98,7.85323453255964e+16,8.312081129765488e+34,2.883068006441313e+17,387863787
